x,y,z,density,r,g,b
-1.6793745,1.2375367,1.2375367,215.098,0.61934406,0.51708984,0.28157553
-1.6754644,1.2375367,1.2375367,90.369446,0.5869548,0.4815267,0.28092447
-1.5816227,1.2375367,1.2375367,81.3237,0.45829263,0.30434164,0.19402058
-1.5698924,1.3822092,1.0811338,65.090675,0.47652182,0.2921753,0.18880208
-1.5347018,1.0146627,1.1202346,121.605385,0.40757242,0.3297933,0.24772136
-1.5229716,1.2375367,1.2375367,112.4666,0.4134725,0.22939046,0.0863444
-1.9491692,1.2883675,1.9960899,61.38635,0.73498535,0.6987712,0.32639566
-1.9296187,1.0459433,1.7849462,61.38635,0.37947592,0.33522543,0.269694
-1.9296187,1.4565005,1.6950147,76.69555,0.62247723,0.52612305,0.24878947
-1.9178885,1.0420332,1.7849462,53.333385,0.5530192,0.45825195,0.3355713
-1.9139785,1.0420332,1.7849462,55.675,0.58394367,0.50236005,0.38517252
-1.8396872,1.2531769,1.7849462,53.437653,0.49291992,0.26472473,0.12167867
-1.7849462,1.3939394,1.5620723,156.75554,0.37150064,0.31758627,0.24776204
-1.7771261,1.3939394,1.5620723,72.330795,0.41748047,0.340271,0.21697998
-1.773216,1.3939394,1.5620723,197.38503,0.38022867,0.2832438,0.1524353
-1.7302053,1.42131,1.5620723,77.29709,0.41394043,0.32733154,0.18293254
-1.6402737,1.1749756,1.8475074,51.591625,0.38193765,0.28034464,0.18775432
-1.6402737,1.1749756,1.8514174,68.21444,0.3917338,0.33939615,0.308136
-1.5659823,1.0576735,1.7341154,56.111668,0.3663737,0.2654419,0.19218953
-1.9726295,1.9022483,-1.9569893,87.931885,0.43988037,0.30977377,0.162618
-1.9726295,1.9022483,-1.9530792,104.4217,0.48885092,0.30975342,0.1572876
-1.9687195,1.941349,-1.6285435,77.90333,0.4818929,0.36242676,0.22566731
-1.9687195,1.941349,-1.5386119,96.57429,0.5352376,0.34077963,0.1343689
-1.9452591,1.9960899,-1.941349,87.931885,0.52335614,0.28389487,0.1564738
-1.941349,1.9921799,-1.9452591,67.15687,0.45011392,0.2539673,0.1579895
-1.941349,1.9960899,-1.9452591,130.97415,0.45792642,0.28723145,0.13835652
-1.941349,2.0,-1.941349,66.37447,0.40958658,0.28078207,0.15576172
-1.9100684,1.8787879,-1.5620723,57.218372,0.5805257,0.47705078,0.25177002
-1.8709677,1.9569893,-1.5503421,54.067562,0.59562176,0.43155923,0.2401123
-1.7888563,1.5894428,-1.773216,75.21213,0.4333903,0.25960287,0.14579265
-1.773216,1.5894428,-1.773216,51.29022,0.6173096,0.29180908,0.14120483
-1.769306,1.5894428,-1.773216,64.58414,0.50630695,0.23257446,0.1535085
-1.7653959,1.5894428,-1.773216,51.591625,0.42893472,0.18792216,0.12697856
-1.6911047,1.7458456,-1.773216,128.94359,0.41756186,0.3950399,0.32694498
-1.8670577,1.7849462,-1.4330401,64.83691,0.4527588,0.26430258,0.13357544
-1.8435973,1.9960899,-1.315738,81.64199,0.53238934,0.28493246,0.11177063
-1.7966764,1.7849462,-1.1827958,50.00432,0.69380695,0.57474774,0.4441732
-1.7653959,1.5112414,-1.0654936,55.241737,0.62772626,0.54423016,0.33188882
-1.7458456,1.6050831,-1.1085044,57.218372,0.46594238,0.30426025,0.15093994
-1.6402737,1.7341154,-1.1476051,54.279175,0.5258382,0.4098104,0.29545084
-1.9804497,1.7067449,-0.75659823,64.081535,0.4142456,0.26953125,0.14953613
-1.941349,1.773216,-0.7174976,76.09871,0.3178304,0.18184407,0.117497765
-1.9296187,1.7458456,-0.9521017,65.85794,0.5824788,0.3835856,0.187795
-1.9178885,1.769306,-0.56109476,91.078224,0.43963623,0.27590942,0.15445964
-1.8475074,1.8748778,-0.6783968,64.83691,0.5182292,0.33199057,0.20201619
-1.7653959,1.7458456,-0.9521017,66.89505,0.70910645,0.4715983,0.21229045
-1.7458456,1.6676441,-0.7018573,143.84695,0.47847494,0.3024292,0.13652039
-1.7419355,1.6676441,-0.7018573,91.078224,0.52941895,0.3739624,0.17863972
-1.659824,1.773216,-0.7174976,115.58429,0.50341797,0.35603842,0.16574097
-1.655914,1.773216,-0.7174976,168.17415,0.5284831,0.38850912,0.17254639
-1.6520039,1.7067449,-0.75659823,67.15687,0.5878499,0.46228027,0.20236206
-1.6520039,1.773216,-0.7174976,54.279175,0.5922038,0.43607584,0.21070354
-1.6363636,1.7067449,-0.75659823,81.96153,0.57836914,0.42616782,0.19077556
-1.6324536,1.7067449,-0.75659823,50.79177,0.55440265,0.40549722,0.16423543
-1.6285435,1.7067449,-0.75659823,187.61183,0.6368408,0.48999023,0.16592915
-1.5307918,1.7458456,-0.92473114,53.22932,0.44291177,0.33624268,0.23323567
-1.5307918,1.7497556,-0.92473114,53.85677,0.64436847,0.53967285,0.31368002
-1.9921799,1.7458456,-0.3890518,51.190136,0.50008136,0.30662027,0.1765035
-1.9843597,1.5777125,-0.455523,67.419716,0.36250815,0.23465984,0.16496785
-1.9804497,1.5777125,-0.455523,221.92595,0.39111328,0.2072347,0.109311424
-1.9804497,1.824047,-0.41642225,57.218372,0.5562744,0.39526367,0.31292725
-1.9765396,1.5738025,-0.455523,68.21444,0.7956543,0.6385091,0.3371582
-1.9726295,1.5738025,-0.455523,64.58414,0.6110026,0.48449707,0.25764975
-1.9491692,1.9178885,-0.07624638,135.13171,0.57747394,0.34143066,0.23598225
-1.9452591,1.9178885,-0.07624638,126.94451,0.6180827,0.49975586,0.23917644
-1.886608,1.5112414,-0.0019550323,51.69249,0.5365804,0.41119385,0.21801758
-1.886608,1.9178885,-0.080156446,79.43984,0.52107745,0.41019693,0.20826213
-1.8631476,1.7614858,-0.47116327,54.385292,0.23811848,0.21409099,0.20243327
-1.8631476,1.7614858,-0.4672532,58.804523,0.27638754,0.23726399,0.20507812
-1.8631476,1.9217986,-0.080156446,59.49769,0.5095215,0.33199057,0.21996053
-1.7849462,1.5777125,-0.14271748,132.51804,0.48380533,0.2880249,0.15389507
-1.6950147,1.9257087,-0.33822095,170.82251,0.58951825,0.46329752,0.1794637
-1.6950147,1.9296187,-0.33822095,61.147026,0.6656087,0.4436442,0.18960571
-1.6911047,1.9257087,-0.33822095,119.25333,0.5525716,0.43033853,0.20802815
-1.655914,1.6168133,-0.3225807,106.06611,0.5574951,0.3665161,0.178243
-1.6520039,1.6168133,-0.32649076,62.10995,0.43473306,0.26072183,0.14013672
-1.6089932,1.9296187,-0.34213102,68.74945,0.54518634,0.47481284,0.2987264
-1.6050831,1.9296187,-0.33822095,66.89505,0.4053955,0.33148193,0.2411906
-1.5386119,1.5738025,-0.455523,77.29709,0.53271484,0.36012778,0.28232828
-1.5386119,1.5777125,-0.455523,72.330795,0.43640137,0.2769165,0.17581177
-1.5347018,1.5738025,-0.455523,50.00432,0.56327313,0.37198892,0.31461588
-1.5034213,1.7810361,-0.455523,58.575264,0.2715861,0.24284871,0.2325236
-1.9882698,1.9687195,0.33822095,110.72296,0.43979898,0.28720093,0.1268514
-1.9843597,1.9687195,0.33822095,144.40997,0.46219888,0.2672119,0.13538615
-1.941349,1.5542521,0.2209189,62.10995,0.74906415,0.54142255,0.20966594
-1.886608,1.5112414,0.0019550323,61.38635,0.30924478,0.30399576,0.26816812
-1.8748778,1.7223852,0.06842625,108.158066,0.41933188,0.337382,0.23555501
-1.8631476,1.7849462,0.42815244,77.90333,0.27034506,0.19707234,0.16778564
-1.8396872,1.6950147,0.33822095,52.301823,0.51188153,0.23404948,0.14981079
-1.7849462,1.941349,0.06451619,70.10541,0.34578452,0.19791667,0.11795044
-1.773216,1.7849462,0.42815244,86.23113,0.5809326,0.4631958,0.2089742
-1.773216,1.7849462,0.4320625,66.89505,0.5854085,0.3977661,0.17430623
